VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2           0           0           0
     2.26667   0.0194444   0.0194444           0
     2.53333   0.0138889   0.0138889           0
         2.8           0           0           0
     3.06667           0           0           0
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2           0           0           0
     2.26667    0.540432     0.14483   0.0886612
     2.53333    0.425309    0.113272   0.0702742
         2.8   0.0342593  0.00856481  0.00605624
     3.06667           0           0           0
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2   0.0104938  0.00116598 0.000952019
     2.26667    0.376543    0.138392   0.0593408
     2.53333     0.47716    0.128532   0.0484781
         2.8    0.135802    0.020799   0.0107743
     3.06667           0           0           0
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2   0.0608025  0.00467464  0.00312135
     2.26667    0.248457    0.119322   0.0474708
     2.53333    0.448148    0.124408   0.0365336
         2.8    0.235494   0.0303176   0.0115434
     3.06667  0.00709877 0.000443673 0.000384232
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333           0           0           0
           2   0.0935185  0.00748045  0.00354027
     2.26667    0.160802     0.10189   0.0410528
     2.53333    0.370062    0.114329   0.0305857
         2.8    0.344753   0.0380442   0.0115343
     3.06667   0.0308642  0.00158951  0.00106997
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0           0           0
         0.4           0           0           0
    0.666667           0           0           0
    0.933333           0           0           0
         1.2           0           0           0
     1.46667           0           0           0
     1.73333  0.00925926 0.000257202 0.000234792
           2    0.109568  0.00927726  0.00337554
     2.26667    0.234877   0.0914326   0.0355176
     2.53333    0.314506    0.104011   0.0271729
         2.8    0.281481   0.0395225  0.00970621
     3.06667   0.0503086  0.00272205  0.00136525
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000617284 1.25976e-05 1.16631e-05
         0.4  0.00432099 8.81834e-05  8.1642e-05
    0.666667  0.00740741 0.000151172 0.000139958
    0.933333   0.0058642 0.000119678   0.0001108
         1.2   0.0111111 0.000226757 0.000209937
     1.46667   0.0283951 0.000579491 0.000536504
     1.73333        0.15  0.00328168  0.00280735
           2    0.212346   0.0122855  0.00401598
     2.26667    0.195679   0.0823643   0.0315801
     2.53333    0.158025    0.092377   0.0256609
         2.8    0.162346   0.0371896  0.00859539
     3.06667   0.0638889  0.00363704  0.00144465
     3.33333           0           0           0
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 1.10229e-05  1.0311e-05
         0.4 0.000617284 8.68056e-05 7.14484e-05
    0.666667  0.00123457 0.000151565 0.000122464
    0.933333  0.00277778 0.000148121 0.000100534
         1.2  0.00555556 0.000285218 0.000191661
     1.46667   0.0194444 0.000810874 0.000516934
     1.73333    0.141049  0.00507537  0.00297476
           2    0.169136   0.0133926   0.0036634
     2.26667    0.172222   0.0747597   0.0285335
     2.53333    0.199691     0.08395   0.0237968
         2.8    0.181481   0.0353765  0.00770981
     3.06667   0.0953704  0.00467257  0.00159253
     3.33333   0.0114198 0.000178434 0.000166909
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 9.79816e-06 9.23779e-06
         0.4           0 7.71605e-05 6.41574e-05
    0.666667  0.00216049 0.000161397  0.00010925
    0.933333  0.00555556  0.00020025 0.000101987
         1.2  0.00864198 0.000360218 0.000184457
     1.46667   0.0305556  0.00109801 0.000533312
     1.73333   0.0842593  0.00555168  0.00268209
           2    0.117284   0.0133525  0.00325657
     2.26667    0.122222    0.067962   0.0261603
     2.53333    0.226852   0.0774229   0.0220297
         2.8    0.155247   0.0333624  0.00711138
     3.06667    0.205556  0.00669112  0.00237185
     3.33333   0.0416667 0.000673011 0.000489326
         3.6           0           0           0
     3.86667           0           0           0
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000617284 1.49912e-05 9.66403e-06
         0.4   0.0117284 0.000186728 0.000118906
    0.666667   0.0126543 0.000271801 0.000143659
    0.933333   0.0126543 0.000306768 0.000136516
         1.2  0.00771605 0.000401357 0.000170537
     1.46667   0.0484568  0.00147277 0.000597317
     1.73333   0.0700617  0.00569713  0.00241782
           2    0.109568   0.0131129  0.00293971
     2.26667    0.121605   0.0623818   0.0241321
     2.53333    0.212963   0.0718102   0.0205292
         2.8    0.137654   0.0314027  0.00666479
     3.06667    0.163272  0.00765473  0.00232217
     3.33333    0.083642  0.00144213 0.000852253
         3.6  0.00339506 3.39506e-05 3.22084e-05
     3.86667  0.00401235 4.01235e-05 3.80645e-05
     4.13333           0           0           0
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 1.36283e-05 8.88106e-06
         0.4   0.0138889 0.000284537 0.000142765
    0.666667   0.0114198  0.00034147 0.000146522
    0.933333  0.00185185 0.000294185 0.000124684
         1.2    0.012037  0.00046435 0.000166261
     1.46667       0.075  0.00195872 0.000713822
     1.73333   0.0527778  0.00561539   0.0021994
           2    0.121296   0.0129233  0.00267858
     2.26667    0.105864   0.0575857   0.0224098
     2.53333    0.212963    0.067042   0.0192087
         2.8    0.118519   0.0295274  0.00631723
     3.06667    0.133025  0.00805822  0.00214583
     3.33333    0.126852  0.00235939   0.0011684
         3.6  0.00524691 7.42271e-05 4.82914e-05
     3.86667  0.00185185 5.17804e-05 3.63452e-05
     4.13333  0.00740741 6.12182e-05 5.83693e-05
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 1.24927e-05 8.21327e-06
         0.4  0.00925926 0.000325126 0.000136516
    0.666667  0.00185185 0.000325874 0.000135139
    0.933333  0.00925926  0.00033397 0.000120474
         1.2   0.0466049 0.000749299 0.000312502
     1.46667   0.0635802  0.00223702 0.000706509
     1.73333   0.0632716  0.00558682   0.0020163
           2    0.132099   0.0127637  0.00246011
     2.26667    0.110802   0.0535563   0.0209014
     2.53333    0.158951    0.062559   0.0181236
         2.8   0.0777778   0.0276069  0.00607571
     3.06667    0.170679  0.00857197  0.00202758
     3.33333    0.114506  0.00295796  0.00121472
         3.6   0.0185185 0.000196642 0.000125285
     3.86667   0.0126543 0.000135343 8.66645e-05
     4.13333   0.0101852 0.000126847  8.2529e-05
         4.4           0           0           0
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 1.15317e-05 7.63749e-06
         0.4  0.00925926 0.000354905 0.000129222
    0.666667           0 0.000300807 0.000127047
    0.933333   0.0154321 0.000399594 0.000127837
         1.2   0.0493827 0.000983866 0.000366061
     1.46667    0.087037  0.00257996 0.000730665
     1.73333   0.0916667  0.00569947  0.00186435
           2    0.134568   0.0125781  0.00227786
     2.26667    0.100617    0.050032   0.0195885
     2.53333    0.151235   0.0586417   0.0171476
         2.8   0.0796296   0.0259545  0.00582872
     3.06667    0.117593   0.0086084  0.00187194
     3.33333    0.112037  0.00339336  0.00119677
         3.6   0.0157407 0.000274656 0.000137813
     3.86667    0.017284 0.000227204 0.000119118
     4.13333    0.012037 0.000188315 9.63904e-05
         4.4  0.00648148  3.8352e-05 3.68474e-05
     4.66667           0           0           0
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0  1.0708e-05 7.13623e-06
         0.4           0 0.000329555 0.000122453
    0.666667  0.00925926 0.000326562 0.000120555
    0.933333   0.0339506 0.000544269 0.000183103
         1.2   0.0407407  0.00112145 0.000364854
     1.46667   0.0685185  0.00274526 0.000696923
     1.73333    0.112346  0.00586556  0.00173856
           2    0.126852   0.0123269  0.00212896
     2.26667    0.124383   0.0470929   0.0184085
     2.53333    0.128086   0.0551065   0.0162831
         2.8    0.087037   0.0245447  0.00558028
     3.06667    0.115432  0.00858246  0.00173841
     3.33333   0.0907407  0.00361394  0.00113143
         3.6    0.032716 0.000421957 0.000191112
     3.86667   0.0157407 0.000291285 0.000126679
     4.13333  0.00493827 0.000200059  9.0218e-05
         4.4  0.00246914 4.82102e-05 3.55097e-05
     4.66667  0.00679012 3.46435e-05 3.33833e-05
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 9.99412e-06 6.69609e-06
         0.4           0 0.000307584 0.000116243
    0.666667   0.0114198 0.000355545  0.00011595
    0.933333   0.0450617 0.000708259 0.000233035
         1.2   0.0478395  0.00125931 0.000365648
     1.46667   0.0462963    0.002768 0.000650832
     1.73333    0.138272  0.00608906  0.00163696
           2    0.117901   0.0120291  0.00200775
     2.26667    0.134877   0.0445528   0.0173556
     2.53333    0.105556   0.0519019   0.0155097
         2.8   0.0725309   0.0232307  0.00536073
     3.06667   0.0962963  0.00843828  0.00162849
     3.33333         0.1  0.00381746  0.00107415
         3.6   0.0268519 0.000513168  0.00019895
     3.86667   0.0395062 0.000447449 0.000191678
     4.13333   0.0095679 0.000229246 8.87992e-05
         4.4  0.00432099 6.42005e-05 3.65659e-05
     4.66667   0.0037037 4.87948e-05 3.40252e-05
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 9.36949e-06 6.30665e-06
         0.4  0.00154321 0.000294389 0.000109725
    0.666667   0.0191358 0.000408073 0.000120013
    0.933333   0.0388889 0.000815902 0.000242058
         1.2   0.0512346  0.00138074 0.000362397
     1.46667   0.0580247  0.00282166 0.000612363
     1.73333    0.151543  0.00630046  0.00154824
           2   0.0987654   0.0116631  0.00191534
     2.26667    0.110185   0.0421987   0.0164298
     2.53333    0.105864   0.0490715   0.0147963
         2.8     0.11142    0.022214  0.00512118
     3.06667   0.0820988  0.00823158  0.00153977
     3.33333   0.0811728  0.00389595  0.00100988
         3.6   0.0305556 0.000600453 0.000204769
     3.86667   0.0287037 0.000531607  0.00019731
     4.13333   0.0283951 0.000325836 0.000125208
         4.4  0.00246914 6.98331e-05 3.47116e-05
     4.66667           0 4.57451e-05  3.2035e-05
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00308642  1.9498e-05 1.14797e-05
         0.4  0.00925926 0.000309111 0.000104253
    0.666667    0.012963 0.000428923  0.00011475
    0.933333   0.0373457 0.000897132 0.000241064
         1.2   0.0558642  0.00149282 0.000357993
     1.46667   0.0814815  0.00293762 0.000587219
